index,Jacksonville,Las_Vegas,Lincoln,New_Orleans,San_Francisco
2015-07-11 07:11:13.907612,94.01,91.2,90.02,91.37,62.44
2015-07-10 07:11:15.695413,95.32,91.8,90.02,89.18,62.33
2015-07-09 07:11:17.326350,93.01,90.23,80.8,91.04,60.74
2015-07-08 07:11:18.972221,88.78,98.81,83.37,90.57,60.9
2015-07-07 07:11:20.533022,87.93,94.95,76.8,89.25,62.55
2015-07-06 07:11:22.059464,87.61,94.38,72.49,87.58,61.51
2015-07-05 07:11:23.621941,89.39,98.25,81.62,87.07,60.83
2015-07-04 07:11:25.137681,88.32,97.67,91.41,88.17,59.42
2015-07-03 07:11:26.863022,93.23,103.6,83.48,89.21,58.92
2015-07-02 07:11:28.502589,88.34,99.15,78.97,88.23,57.97
2015-07-01 07:11:30.162946,92.66,100.91,74.4,87.88,58.03
2015-06-30 07:11:31.734007,87.0,107.02,85.23,89.69,57.24
2015-06-29 07:11:33.300230,84.37,104.32,86.1,88.36,58.33
2015-06-28 07:11:34.838874,89.44,104.1,86.81,83.29,60.16
2015-06-27 07:11:36.530128,91.04,109.88,86.55,90.18,58.3
2015-06-26 07:11:38.011276,88.73,109.99,85.0,89.46,57.71
2015-06-25 07:11:39.585266,88.05,108.96,81.58,84.41,58.68
2015-06-24 07:11:41.101935,92.04,108.49,79.14,89.19,56.32
2015-06-23 07:11:42.629554,90.7,105.68,92.71,90.77,56.81
2015-06-22 07:11:44.204941,94.6,106.71,76.0,90.41,55.81
2015-06-21 07:11:45.744639,91.72,108.73,89.88,91.37,56.61
2015-06-20 07:11:47.294555,95.43,111.03,86.37,90.49,56.51
2015-06-19 07:11:48.846266,95.48,108.48,89.3,89.74,56.0
2015-06-18 07:11:50.365433,94.44,105.38,82.97,89.34,55.21
2015-06-17 07:11:51.896822,95.55,106.96,75.68,91.0,54.71
2015-06-16 07:11:53.580461,95.18,106.09,86.03,91.07,54.51
2015-06-15 07:11:55.094348,93.01,107.63,79.39,88.62,55.21
2015-06-14 07:11:56.657252,93.02,102.53,76.51,86.71,55.51
2015-06-13 07:11:58.166967,91.17,102.96,81.59,89.24,57.21
2015-06-12 07:11:59.664157,91.33,98.95,77.57,80.69,59.83
