,Country or area,Year,Men,Women
1,Afghanistan,2004,11,5
2,Albania,2004,11,11
3,Algeria,2005,13,13
4,Andorra,2008,11,12
5,Anguilla,2008,11,11
6,Antigua and Barbuda,2000,12,16
7,Argentina,2007,15,17
8,Armenia,2009,12,13
9,Aruba,2009,13,13
10,Australia,2008,20,21
11,Austria,2008,15,15
12,Azerbaijan,2008,13,13
13,Bahrain,2006,14,15
14,Bangladesh,2007,8,8
15,Belarus,2007,14,15
16,Belgium,2008,16,16
17,Belize,2009,12,13
18,Benin,2001,10,6
19,Bermuda,2006,12,12
20,Bhutan,2008,11,11
21,Bolivia (Plurinational State of),2007,14,14
22,Bosnia and Herzegovina,2009,13,14
23,Botswana,2006,12,12
24,Brazil,2008,14,14
25,British Virgin Islands,2005,15,19
26,Brunei Darussalam,2009,14,14
27,Bulgaria,2008,13,14
28,Burkina Faso,2009,7,6
29,Burundi,2006,8,7
30,Cambodia,2007,10,9
31,Cameroon,2009,11,9
32,Canada,2002,16,16
33,Cape Verde,2009,11,12
34,Cayman Islands,2008,11,12
35,Central African Republic,2009,8,5
36,Chad,2009,9,5
37,Chile,2008,15,15
38,China,2008,11,12
39,"China, Hong Kong SAR",2009,15,16
40,"China, Macao SAR",2009,15,14
41,Colombia,2009,13,14
42,Comoros,2004,12,10
43,Congo,2003,10,8
44,Cook Islands,2010,12,13
45,Costa Rica,2005,12,12
46,Cte d'Ivoire,2000,8,5
47,Croatia,2008,13,14
48,Cuba,2009,16,19
49,Cyprus,2008,14,14
50,Czech Republic,2008,15,16
51,Democratic Republic of the Congo,2008,9,7
52,Denmark,2008,16,18
53,Djibouti,2007,5,4
54,Dominica,2008,14,15
55,Dominican Republic,2004,11,13
56,Ecuador,2008,14,14
57,Egypt,2004,11,11
58,El Salvador,2008,12,12
59,Equatorial Guinea,2000,9,7
60,Eritrea,2009,6,4
61,Estonia,2008,15,17
62,Ethiopia,2008,9,8
63,Fiji,2005,13,13
64,Finland,2008,16,18
65,France,2008,16,16
66,Gabon,1999,13,12
67,Gambia,2004,9,8
68,Georgia,2008,13,13
69,Ghana,2007,10,9
70,Greece,2007,16,17
71,Grenada,2009,16,17
72,Guatemala,2007,11,10
73,Guinea,2008,10,7
74,Guinea-Bissau,2000,7,5
75,Guyana,2009,12,12
76,Hungary,2008,15,16
77,Iceland,2008,17,20
78,India,2007,11,10
